cod_manzana,score_accesibilidad,score_ambiental,score_socioeconomico,score_seguridad,atlas_score,municipio,moran_i,lisa_q,lisa_p,zona_atlas,quintil
0549020120600100010317,0.16666666666666666,0.3367813381361625,0.6165406648096186,1.0,0.7229035013730197,Necoclí,0.7436,4,0.001,HL,Q4-Alto
0549020050401800010104,0.16666666666666666,0.49610916985271913,0.6271315926703555,1.0,0.7891907592435494,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0566510000000000010249,0.19047619047619047,0.37993868840142087,0.6409917824407743,1.0,0.7585667089275743,San Pedro de Urabá,0.7436,4,0.001,HL,Q4-Alto
0583720090700100010132,0.16666666666666666,0.037772207859404945,0.6491864251504007,1.0,0.618992094332777,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090700100010304,0.16666666666666666,0.04136914807647893,0.6686108780993308,1.0,0.6279730039694178,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090700100020425,0.16666666666666666,0.038368688838778094,0.5807242487572182,1.0,0.5925169078162956,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720100400800010204,0.16666666666666666,0.12363773817668489,0.5335851341742436,1.0,0.6073918328921047,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0583720090602600010110,0.16666666666666666,0.0,0.0,1.0,0.35100164898119357,Turbo,0.7436,3,0.001,LL,Q1-Crítico
0583720090603100010103,0.16666666666666666,0.010147666935007772,0.660293071153599,1.0,0.6125482739868443,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0514710000000000010105,0.16666666666666666,0.34773417986967303,0.6907487441048,1.0,0.7561257538586428,Carepa,0.7436,1,0.165,NS,Q4-Alto
0514710000000000010303,0.16666666666666666,0.3433243864556355,0.6123741538889785,1.0,0.7238306158822554,Carepa,0.7436,4,0.001,HL,Q4-Alto
0514710000000000010706,0.16666666666666666,0.34805995824475433,0.5926253283023978,1.0,0.7179737733039325,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000010814,0.16666666666666666,0.34544903694985757,0.592242266298478,1.0,0.7168057860641339,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000020624,0.16666666666666666,0.35288662791849473,0.0,1.0,0.4886667717850961,Carepa,0.7436,3,0.001,LL,Q2-Bajo
0514710000000000020914,0.16666666666666666,0.35143001098503757,0.5194387014889503,1.0,0.690737526636774,Carepa,0.7436,4,0.001,HL,Q3-Medio
0514710000000000030226,0.16666666666666666,0.3518977373200476,0.6256925139710051,1.0,0.7323708235223279,Carepa,0.7436,4,0.001,HL,Q4-Alto
0514710000000000030317,0.16666666666666666,0.3500875821255548,0.6015283075437958,1.0,0.7222379270068201,Carepa,0.7436,4,0.001,HL,Q4-Alto
0517210000000000020203,0.21428571428571427,0.4638012287586085,0.5465156879617531,1.0,0.7637146081219638,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000010219,0.21428571428571427,0.46621624397072015,0.5465156879617531,1.0,0.7646567332676789,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000050403,0.21428571428571427,0.46217153462681604,0.5465156879617531,1.0,0.7630788457409708,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000050418,0.21428571428571427,0.46388380170126664,0.5465156879617531,1.0,0.7637468207743908,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000050711,0.19047619047619047,0.4658600191386064,0.5465156879617531,1.0,0.7552293974289073,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000060209,0.21428571428571427,0.46899347292512406,0.5465156879617531,1.0,0.7657401621505406,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000060310,0.21428571428571427,0.4684112086792179,0.5465156879617531,1.0,0.7655130141869303,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0517210000000000060320,0.21428571428571427,0.4694108177917534,0.5465156879617531,1.0,0.7659029731719018,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0565910000000000010520,0.16666666666666666,0.8727608581148061,0.5167144233090882,1.0,0.8930519000164566,San Juan de Urabá,0.7436,1,0.035,HH,Q5-Óptimo
0565910000000000010607,0.16666666666666666,0.8573369920877496,0.5589216003037948,1.0,0.9035003769542348,San Juan de Urabá,0.7436,1,0.015,HH,Q5-Óptimo
0566510000000000010402,0.19047619047619047,0.3819337264823538,0.5887584765468242,1.0,0.7389681841868416,San Pedro de Urabá,0.7436,1,0.352,NS,Q4-Alto
0514710000000000010729,0.16666666666666666,0.3488563198597263,0.0,1.0,0.4870945023649693,Carepa,0.7436,3,0.001,LL,Q1-Crítico
0514710000000000020903,0.16666666666666666,0.35077106576230294,0.5194387014889503,1.0,0.690480464544215,Carepa,0.7436,4,0.001,HL,Q3-Medio
0517210000000000030104,0.19047619047619047,0.45625606119833423,0.5465156879617531,1.0,0.7514827832342871,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000030117,0.19047619047619047,0.4585454401423722,0.5465156879617531,1.0,0.7523758962301937,Chigorodó,0.7436,4,0.001,HL,Q4-Alto
0517210000000000060416,0.21428571428571427,0.4702344312188518,0.5465156879617531,1.0,0.7662242742204942,Chigorodó,0.7436,4,0.001,HL,Q5-Óptimo
0549020030200400010134,0.16666666666666666,0.7486570049989032,0.0,1.0,0.6430613372133595,Necoclí,0.7436,4,0.001,HL,Q2-Bajo
0505110000000000010416,0.30952380952380953,1.0,0.0,0.5,0.6017875969747654,Arboletes,0.7436,3,0.001,LL,Q2-Bajo
0505110000000000011030,0.30952380952380953,0.9906551086227174,0.5888248719883467,0.5,0.8278493867449646,Arboletes,0.7436,4,0.001,HL,Q5-Óptimo
0505110000000000011043,0.30952380952380953,0.9947684550314861,0.0,0.5,0.5997467112523657,Arboletes,0.7436,3,0.001,LL,Q2-Bajo
0549010000000000010310,0.26190476190476186,0.46767616891294234,0.6414454625933285,1.0,0.8208361979985389,Necoclí,0.7436,4,0.001,HL,Q5-Óptimo
0549010000000000010513,0.26190476190476186,0.4560305928244921,0.0,1.0,0.5660578898133357,Necoclí,0.7436,3,0.001,LL,Q2-Bajo
0549010000000000010609,0.16666666666666666,0.4970071440239656,0.5886867950269158,1.0,0.7745433125701386,Necoclí,0.7436,1,0.138,NS,Q5-Óptimo
0549020120600100010415,0.16666666666666666,0.3358187384924455,0.6692488377155077,1.0,0.7430900432652804,Necoclí,0.7436,4,0.001,HL,Q4-Alto
0565910000000000010406,0.16666666666666666,0.8649441890938461,0.5617937277310537,1.0,0.9075884816623367,San Juan de Urabá,0.7436,4,0.001,HL,Q5-Óptimo
0583720090700100010509,0.16666666666666666,0.0419614494439967,0.0,1.0,0.36737129190252227,Turbo,0.7436,3,0.001,LL,Q1-Crítico
0583720090700100020219,0.16666666666666666,0.04246796493953023,0.6207560269332744,1.0,0.6097329384783747,Turbo,0.7436,3,0.001,LL,Q2-Bajo
0504520020500200010122,0.16666666666666666,0.21351095781313162,0.0,1.0,0.43429472358903176,Apartadó,0.7436,3,0.001,LL,Q1-Crítico
0504520020300900010125,0.16666666666666666,0.292198941993684,0.5717792570053121,1.0,0.6880494582639034,Apartadó,0.7436,4,0.001,HL,Q3-Medio
0504520010301100010117,0.16666666666666666,0.1923569823476713,0.599104056039057,0.5,0.4647039444712036,Apartadó,0.7436,3,0.001,LL,Q1-Crítico
0504520010101600010118,0.16666666666666666,0.1936620897348883,0.0,1.0,0.4265514523927626,Apartadó,0.7436,3,0.001,LL,Q1-Crítico
0505110000000000010118,0.30952380952380953,0.9989281927843726,0.6352197661209609,0.5,0.8491759923738404,Arboletes,0.7436,4,0.001,HL,Q5-Óptimo
0505110000000000010316,0.30952380952380953,0.9946796722050149,0.0,0.5,0.5997120760530068,Arboletes,0.7436,3,0.001,LL,Q2-Bajo
0505110000000000010342,0.30952380952380953,0.9917893793902022,0.6522638220882807,0.5,0.8530401411608839,Arboletes,0.7436,4,0.001,HL,Q5-Óptimo
0505120060400100010113,0.16666666666666666,0.7884024948322088,0.0,1.0,0.658566508863182,Arboletes,0.7436,4,0.001,HL,Q3-Medio
